artist,album,song
starr,RingoThe4th,Can She Do It Like She Dances-2yGM9II2mGU.png
starr,TimeTakesTime,Runaways-q77V1cx1xIg.png
starr,RingosRotogravure,You Don't Know Me at All-F9FUQsCyaek.png
mccartney,FlowersInTheDirt,Rough Ride (Remastered 2017)-H9l4HBGEEgw.png
starr,Ringo,Devil Woman _ Ringo _ Ringo Starr-yRVHqxIIUCw.png
starr,VerticalMan,Love Me Do (Live From VH1 Storytellers Studio_1998)-ykR2IcaXYBA.png
mccartney,BandOnTheRun,Let Me Roll It (Remastered 2010)-EvT_6nGOhTM.png
mccartney,DrivingRain,Paul McCartney - Spinning On An Axis-468w2mYIUac.png
mccartney,Ram,3 Legs _ Ram _ Track 2 (Stereo)-JP8d944nv2U.png
mccartney,Ram,Eat At Home _ Ram _ Track 9 (Stereo)-c9lABuiE0-w.png
starr,GoodnightVienna,Easy For Me-7TCPyQv_Qqo.png
mccartney,FlowersInTheDirt,My Brave Face (1988 Demo)-6Ldqa29J3Y4.png
Lennon,SomeTimeInNYC,"Sisters, O Sisters (Remastered 2010)-lAOWhoNwAHU.png"
Lennon,RocknRoll,Slippin' And Slidin' (Remastered 2010)-EAN_uJabnjE.png
starr,SmellTheRoses,Ringo Starr - Private Property-FFFs9GpTURw.png
mccartney,VenusAndMars,Spirits Of Ancient Egypt (1993 Digital Remaster)-Sf9jPtp-AcQ.png
starr,SantaClaus,Christmas Time Is Here Again--QW3i_YJqjE.png
starr,SentimentalJourney,Ringo Starr - Night and Day-Ba8Y0NyccDc.png
Lennon,SomeTimeInNYC,Attica State (Remastered 2010)-h_vFMU8HiZc.png
harrison,AllMustPass,Wah-Wah (2014 Mix)-yNfBDnnZyuo.png
mccartney,WildLife,Wings - Wild Life - Mumbo Link-BntKk1FXG5A.png
Lennon,PlasticOnoBand,John Lennon Power to the People-YnF0Am3YvGk.png
starr,RingoRama,Missouri Loves Company-_ETe32_q0VY.png
starr,ChooseLove,Fading In And Out-DWLDKiKQ9_8.png
mccartney,McCartney2,Mr H Atom _ You Know I’ll Get You Baby (Remastered 2011)-mgtORjIU_gU.png
starr,BeaucoupsOfBlues,Beaucoups Of Blues-xLz9_aayHfc.png
starr,RingoRama,Imagine Me There-pdtL9wCoMeE.png
starr,GoodnightVienna,Only You (And You Alone)-n2ftAkKRRH4.png
mccartney,MemoryAlmostFull,Feet In The Clouds-bPYROV1r0RI.png
mccartney,EgyptStation,Hand In Hand-iEOOI0UUvBM.png
starr,SantaClaus,The Christmas Dance-49bYwYTuuwY.png
mccartney,EgyptStation,Hunt You Down_Naked_C-Link-bNUkLw94r54.png
mccartney,PipesOfPeace,Paul McCartney - Hey Hey Hey-WrGbpVGmWLQ.png
harrison,AllMustPass,Isn't It A Pity (Version Two _ 2014 Mix)-bHV2CY5LOSQ.png
mccartney,DrivingRain,Paul McCartney  - Rinse The Raindrops-zW6fJnrx3ik.png
starr,SmellTheRoses,Ringo Starr - Attention-UZKVtmBX8rM.png
harrison,ExtraTexture,Can't Stop Thinking About You (2014 Mix)-qbQfW0_qYY4.png
starr,RingosRotogravure,I'll Still Love You-NXg45wYBCcg.png
mccartney,OffTheGround,Get Out Of My Way-u6rpJfgz4ww.png
starr,GiveMoreLove,Ringo Starr - We’re On The Road Again (Audio)-QeM1fRcqWl8.png
mccartney,New,Paul McCartney 'New' - Album out 14th Oct [UK] _ 15th Oct [US]-pE_1V0phMW8.png
mccartney,LondonTown,Don't Let It Bring You Down (Remastered 1993)-uJkI9ASc-Lo.png
starr,Liverpool8,Harry's Song-Zcmvdq6vwbg.png
starr,WhatsMyName,Ringo Starr - Life Is Good (Audio)-qPvk7CaghDw.png
harrison,GeorgeHarrison,Here Comes The Moon (2004 Mix)-z6LQBh_0N9U.png
mccartney,McCartney,Hot As Sun-Glasses _ McCartney _ Track 5 (Stereo)-IdnoXWdWrLI.png
harrison,GeorgeHarrison,Faster (2004 Mix)-c_8bgBtRXNg.png
mccartney,BackToTheEgg,Again And Again And Again (Remastered 1993)-txDie0l8Wzs.png
harrison,ThirtyThree,It's What You Value _ Thirty Three & 1_3 _ Track 6-9gX-JyAj24U.png
mccartney,New,Paul McCartney - Turned Out (New)-6yJZKNjGwyY.png
harrison,Brainwashed,George Harrison - Any Road-r8fFdc-karA.png
harrison,ExtraTexture,Ooh Baby (You Know That I Love You)-H_SKCkVKz88.png
harrison,AllMustPass,Beware Of Darkness (2014 Mix)-0LrxYds2UNE.png
mccartney,TugOfWar,Somebody Who Cares (Remixed 2015)-miemM-xFqWw.png
starr,Ringo2012,Anthem-HbOj5AIvcOA.png
mccartney,EgyptStation,Station II-Y1kObOq_eb4.png
Lennon,SomeTimeInNYC,New York City (Remastered 2010)-GlwuwEx2zLA.png
starr,Ringo2012,Step Lightly-W-FdCryxnEo.png
starr,BeaucoupsOfBlues,$15 Draw-KdbO8ynNZac.png
mccartney,TugOfWar,Here Today (Remixed 2015)-whoGVQHI-Vc.png
starr,OldWave,Ringo Starr - Everybody's in a Hurry But Me-WT_Yn4EC_Lw.png
Lennon,MindGames,One Day (At A Time)-m4Qpk6ZDZPg.png
harrison,MaterialWorld,Don't Let Me Wait Too Long _ Living In The Material World _ Track 4-TwMY5_E9WT4.png
mccartney,New,Paul McCartney - Hosanna-uJcYPGZe0PM.png
mccartney,FlowersInTheDirt,Où Est Le Soleil (Remastered 2017)-IQesWC2rb-s.png
mccartney,McCartney,Valentine Day _ McCartney _ Track 3 (Stereo)-WZNUpTicdRI.png
starr,RingosRotogravure,Cryin'-XDA0srA_L6U.png
mccartney,OffTheGround,Off The Ground-76zCEkqYy4I.png
Lennon,MindGames,Nutopian International Anthem (Remastered 2010)-j38PiSGFxLQ.png
mccartney,TugOfWar,The Pound Is Sinking (Remixed 2015)-Jnxk0UkVQa4.png
mccartney,PipesOfPeace,Paul McCartney - Say Say Say (Feat. Michael Jackson)-rRlvE9176-g.png
mccartney,PipesOfPeace,Paul McCartney - Keep Under Cover-Qae_ZmFzSiA.png
mccartney,OffTheGround,I Owe It All To You-k37GmVMi778.png
starr,SentimentalJourney,Dream _ Sentimental Journey _ Ringo Starr-Mc-JtwzKP-I.png
mccartney,TugOfWar,Ballroom Dancing (Remixed 2015)-ZR_rcMpRSoA.png
mccartney,EgyptStation,Caesar Rock-sQ6NlI6uvvQ.png
mccartney,FlowersInTheDirt,Distractions (Remastered 2017)-4WxkjGN7lDQ.png
starr,PostcardsParadise,Island In The Sun-v1o_hRDHA30.png
harrison,AllMustPass,Awaiting On You All (2014 Mix)-fbyHdlCVrRo.png
starr,Liverpool8,Gone Are The Days-PVWD7fGt1-g.png
mccartney,BandOnTheRun,Mamunia (Remastered 2010)--UAKKR_Mr4o.png
mccartney,McCartney2,Frozen Jap (Remastered 2011)-DndU1UMCjV4.png
Lennon,Imagine,Oh My Love (Remastered 2010)-u3QZVdqUidw.png
harrison,GoneTroppo,Wake Up My Love (2004 Mix)-zO8aH-7a8cY.png
starr,SmellTheRoses,Ringo Starr - Dead Giveaway-plvKeh-HZG0.png
starr,Liverpool8,Pasodobles-7v_zcRCN6Ss.png
Lennon,RocknRoll,Rip It Up _ Ready Teddy (Remastered 2010)-qjobBx2P6C0.png
mccartney,LondonTown,With A Little Luck (Remastered 1993)-s7sds_vDulo.png
Lennon,RocknRoll,Just Because (Remastered 2010)-eQkouyTSKlg.png
